P10-a;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For Explanation:
* If yes, please briefly specify.";yes;"Regarding the national level:
The data strategy contains several measures specifing a data inventory, e.g.:
- Verwaltungsdateninformationsplattform (VIP); published by the Federal statistical office: https://www.destatis.de/DE/Themen/Staat/Buerokratiekosten/VIP/vip.html
- Datenatlas (this includes an inventory analysis of all the administration’s data), see:
https://www.bundesregierung.de/resource/blob/992814/1845634/0bab2b7d06c82f45361620f0c22891a2/datenstrategie-der-bundesregierung-download-bpa-data.pdf?download=1 (page 50 and 88)

- A measure of the Open Data Strategy: the Competence Center Open Data (CCOD) at the Federal Office of Administration has developed a prototype of a ""theme catalogue"" of open data. (https://opendatabund.github.io/themenkataloge/)

Regarding the regional / communal level:
Due to consitutional restrictions in Germany owing to Germany's Federal structure (Bund on the national level and the 16 Länder), the national government cannot directly mandate the federal states (Länder) or communes/cities and their respective public bodies to maintain a data inventory. However, within the limits of the German constitution, the national government has issued a law that specifies which data that must be published as open data (§12a). 
This is due to constitutional restraints (verfassungsrechtliche Hürden) but incentives were used e.g. in programmes to support local and regional initiatives (Modellkommunen/ Model Municipalities BMI) as well as dialogue formats with all regions and local authorities. Link: https://www.bmi.bund.de/DE/themen/moderne-verwaltung/open-government/modellkommune/modellkommune-node.html
Based on the results of the project ""Modellkommune"", see also the current initiative of the regional open government laboratories:
https://open-government-kommunen.de/

Response to r1: The overarching Topic Page (main page) is better suited here. This page summarises all the main findings of the regional open government laboratory initiative, to which we refer in our reply.";Complement;Yes;"There is currently no obligation on federal level to create a data catalogue on a legal basis or on the basis of the various strategies in the field of data/open data.

In fact, such an obligation is currently being considered for a planned transparency law (on federal level). However, the discussion process itself has not yet started and therefore no decisions have been made yet.

In addition, there are datasets that require at least certain requirements (examples at federal level):
- Verwaltungsdateninformationsplattform (VIP); published by the Federal statistical office: https://www.verwaltungsdaten-informationsplattform.de/DE/Home/home_node.html
- Datenatlas (this includes an inventory analysis of all the administration’s data), see:
https://www.bundesregierung.de/resource/blob/992814/1845634/0bab2b7d06c82f45361620f0c22891a2/datenstrategie-der-bundesregierung-download-bpa-data.pdf?download=1 (page 50 and 88)

Due to consitutional restrictions in Germany owing to Germany's Federal structure (Bund on the national level and the 16 states/Länder), the national government CANNOT directly mandate the federal states (Länder) or communes/cities and their respective public bodies to maintain a data inventory. ";;;;;;
P10-b;"Do these data inventories include the data collected by public bodies that cannot be published as open data (e.g. in relation to the EU Data Governance Act (EU) 2022/868)? 

For Explanation:
* If yes, please briefly specify.";yes;"Yes, the Verwaltungsdateninformationsplattform (VIP, see above) specifies identifying (but not publishing) all metadata from registers, which by their nature as personal data do not entail any open data.
The German Open Data Law (§12a EGovG) currently specifies, which data cannot be published as open data. This data for instance includes individual-level personal data, research data, as well as data thay may put Germany's national security at risk. 

Furthermore the second Open Data Act (in force since 07/2021) includes a specific regime for research data requiring publication in certain cases";Complement;Yes;"As noted above, there is no legal obligation to create data catalogues. Nevertheless, for example, the Administrative Data Information Platform (VIP, see above) specifies the identification (but not the publication) of all metadata from registers which, by their nature, do not contain open data as personal data.
The German Open Data Act (§12a EGovG) currently determines which data may not be published as Open Data. These data include, for example, personal data at an individual level, research data and data that may jeopardise the national security of Germany.

In addition, the second Open Data Act (in force since 07/2021) contains a specific regulation for research data that must be published in certain cases.";;;;;;
P11;"Is your country applying the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
* If yes, how is it progressing? 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.
** In the table below, please indicate your progress with respect to a) organisation, b) legal aspects, c) technical aspects on a scale from 1 to 5. 1 = no progress; 2 = few progress; 3 = some progress; 4 = considerable progress; 5 = works are finalised.";new question;new question;Change;Yes;"FAQs are provided on the national metadata portal GovData for the implementation of the high-value datasets.
Link: https://www.govdata.de/web/guest/hochwertige-datensaetze

There is also a guideline and a process diagram in preparation.";;;;;;
;Categories of high-value datasets;Answers  2024;;Degree of progress (from 1 to 5);;;;;;;;
;;Organisational progress;Legal progress ;Technical progress ;Technical progress ;Technical progress ;Technical progress ;Technical progress ;;;;
;;Setting up new roles and workflows;Addressing legal barriers;Identification and inventory of high-value datasets;Publication of high-value datasets in machine-readable formats via APIs;Publication of high-value datasets as bulk download, where relevant;Standardised means to structure, describe, access high-value datasets;Ensuring metadata availability and quality;;;;
P11-a;Geospatial;3;4;4;2;1;3;3;;;;
P11-b;Earth observation and environment;3;4;4;2;1;3;3;;;;
P11-c;Meteorological;3;4;4;2;1;3;3;;;;
P11-d;Statistics;3;4;4;2;1;3;3;;;;
P11-e;Companies and company ownership;3;4;4;2;1;3;3;;;;
P11-f;Mobility;3;4;4;2;1;3;3;;;;
P12;"Have the public bodies in your country denoted relevant datasets as high-value datasets in their metadata following the publication of the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
*  If yes, please specify how and highlight challenges, if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;Some data sets are already marked as a high-value dataset, for example in the geodata area.;;;;;;
;1.2 Governance of open data;;;;;;;;;;;
P13;"Is there a governance structure in place that enables the participation and/or inclusion of various open data stakeholders? 

For Explanation:
*  If yes, please briefly describe the governance structure and its operating model ";new question;new question;Change;Yes;"The Competence Centre Open Data (CCOD) organises an annual round table to find topics for future specialist forums with various stakeholders who provide open data. As a result, the CCOD organises regular expert forums on different topics in the field of Open Data with different stakeholders.
Example (expert forum for high-value-datasets): https://www.bva.bund.de/SharedDocs/Kurzmeldungen/DE/Behoerden/Beratung/OpenData/Aktuelles/2024/FF_HVD.html";;;;;;
P14;"How would you classify the model used for governing open data in your country? 

For Explanation:
*  Please briefly explain why this model was chosen/works best for your country";hybrid;Hybrid, because of the federal structures in Germany. This model is used to incorporate all federal levels and ensure an alignment of projects and initiatives at local and regional level. ;Confirm;;;;;;;;
P15;"Does the governance structure ensure that the local and regional open data initiatives are facilitated and supported at national level?

For Explanation:
* If yes, please give an example of what kind of support.
* If not applicable, please explain why.";new question;new question;Change;No;Due to the federal structure of Germany, the possibilities of support at regional and local level are very limited.;;;;;;
P16;"To what degree do local/regional public bodies conduct open data initiatives? 

For Explanation:
* If not applicable, please explain why.";the majority of public bodies;"Due to the regulations all authorities at the federal state level are obligated to provide open data.
see § 12a sec.1 EGovG, https://www.gesetze-im-internet.de/egovg/__12a.html

Some of the states (Länder) have also implemented different open data policies, that oblige their public bodies to provide open data.
e.g. NRW, https://recht.nrw.de/lmi/owa/br_bes_detail?sg=0&menu=0&bes_id=34925&anw_nr=2&aufgehoben=N&det_id=552085

Moreover a lot of minucipalities and cities provide open (government) data.
- City of Berlin, https://daten.berlin.de/
- City of Munich: https://opendata.muenchen.de/
- City of Bonn, https://opendata.bonn.de/";Confirm;;;;;;;;
P17;"Is a document describing the responsibilities and governance structure of the national (and/or regional/local) open data team publicly available?

For Explanation:
* If yes, please provide the URL where this information is published. ";yes;"Not summarised in a single document, but described in different documents:

GovData (nitional Open Data Portal):
The role of the national open data portal (GovData) is described under section 7 in the following published document: https://www.govdata.de/documents/10156/18448/Verwaltungsvereinbarung_GovData_finale+Fassung.pdf/a12e7cfb-91fc-4570-9a07-ed420e524c93

Open Data Coordination
- a good overview of Open Data Coordination and related tasks and roles can be found in a CCOD guidance document:
https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/ODK_Leitfaden/1_OpenData_Einfuehrung/einfuehrung_node.html

Competence center of Open Data (CCOD):
The role of the CCOD is described in the introductory text, see: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Beratung/beratung_node.html 
(see contact persons)";Confirm;;;;;;;;
P18;"Is there a regular exchange of knowledge or experiences between the national open data team and the team maintaining the national portal? 

For Explanation:
* If yes, please briefly describe how this exchange takes place and provide evidence supporting your answer (e.g. meeting agendas, URLs to news items).";yes;Yes - not regularly by calendar, but minimum two times a year and on ad hoc basis via the Workgroup GovData (compare the answer to question 12, issue 3).;Complement;Yes;Yes - not regularly by calendar, but minimum two times a year and on ad hoc basis via the Workgroup GovData.;;;;;;
P19;"Does the governance model include the appointment of official roles in civil services that are dedicated to open data (e.g. open data officers)?

For Explanation:
* If yes, please describe how this task is fulfilled at public body level.";yes;"Yes (compare also answer to question 12 above):
- The 2nd Open Data Act (in force since July 2021) requires in section 12a(9) EGovG federal authorities to establish ‘open data coordinators’. The role is mandatory
- As part of the data strategy adopted in early 2021, Chief Data Scientists are currently being established in all federal ministries. These are supported by the establishment of dan laboratories in ministries or subordinate authorities. Both roles/institutions are also mandatory for the federal level.";Complement;Yes;"Yes:
- The 2nd Open Data Act (in force since July 2021) requires in section 12a(9) EGovG federal authorities to establish ‘open data coordinators’. The role is mandatory
- As part of the data strategy adopted in early 2021, Chief Data Scientists are currently being established in all federal ministries. These are supported by the establishment of data laboratories in ministries or subordinate authorities. Both roles/institutions are also mandatory for the federal level.";;;;;;
P20;"Is there a regular exchange of knowledge or experiences between the national open data team and the wider network of open data officers in your country? 

For Explanation:
* If yes, please briefly describe how this exchange takes place and provide evidence supporting your answer (e.g. meeting agendas, URLs to news items).";yes;"Yes, there are existing different formats for regular exchange:
- A core task of the competence Center Open Data (CCOD) - as part of the national open data team in the broader sense - is to promote regular exchange between all open data stakeholders (minimum three times a year).
- There is also be regular exchange among the open data coordinators (federal level)";Confirm;;;;;;;;
P21;"Is there a regular exchange of knowledge or experiences between public sector bodies (i.e. the providers) and open data reusers (e.g. academia, citizens, businesses)?

For Explanation:
* If yes, please briefly describe how this exchange takes place and provide evidence supporting your answer (e.g. meeting agendas, URLs to news items).";yes;"Yes, in case of the federal research institutes under the responsibility of the Federal Ministry of Food and Agriculture, they have the internal (within the public body) exchange between the unit responsible for data management service and the scientists in our research institutes. Furthermore, they organize regular exchange between the public body (federal research institutes and the administrative authority) from our area of responsibility and the highest authority (federal ministry). For this purpose, they have established the Think Tank Digitalization with working groups on data management, Open Data and AI. There are also other opportunities for exchange.

There is also an exchange of knowledge and experience at federal level with the National Research Data Infrastructure Germany (NFDI).

At federal level the Competence Center of Open Data (CCOD) conducts so called 'Fachforen' (expert forums), where experts from different user groups (e.g. data journalists, ngo's) are invited to share their experiences, point of views and demands with civil servants from all federal levels, e.g. on metadata quality or data structure

Some examples at regional level:
Berlin (state):
Berlin Open Data Day is the networking conference between the public bodies and the stakeholders from academia, citizens and businesses, where we have speeches from the mayor and best practice presentations for open data projects: https://projektzukunft.berlin.de/news/news-detail/rueckblick-berlin-open-data-day-2019  we do also have the ""Open Data Lunch"", where we give the saleholders from academia, citizens and business the opportunity to exchange with the public bodies:  https://www.berlin.de/moderne-verwaltung/e-government/open-data/veranstaltungen/artikel.1257989.php#berlin 

Lower Saxony:
Only at project level: In the context of our project ""Bürgerinformationsportal Umwelt / UmweltNAVI Niedersachsen."" the Ministry of Environment of Lower Saxony cooperates e.g. with observations.org.";Confirm;;;;;;;;
;1.3 Open data implementation;;;;;;;;;;;
