ID;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable)
P10-a;ja;"Zur nationalen Ebene:
Die Datenstrategie beinhaltet mehrere Maßnahmen zur Spezifizierung einer Dateninventur, z.B.:
- Verwaltungsdateninformationsplattform (VIP); herausgegeben vom Statistischen Bundesamt: https://www.destatis.de/DE/Themen/Staat/Buerokratiekosten/VIP/vip.html
- Datenatlas (dazu gehört eine Bestandsanalyse aller Daten der Verwaltung), siehe:
https://www.bundesregierung.de/resource/blob/992814/1845634/0bab2b7d06c82f45361620f0c22891a2/datenstrategie-der-bundesregierung-download-bpa-data.pdf?download=1 (Seite 50 und 88)

- Eine Maßnahme der Open-Data-Strategie: Das Kompetenzzentrum Open Data (CCOD) beim Bundesverwaltungsamt hat einen Prototypen eines „Themenkatalogs“ zu Open Data entwickelt. (https://opendatabund.github.io/themenkataloge/)

Zur regionalen/kommunalen Ebene:
Aufgrund verfassungsrechtlicher Beschränkungen in Deutschland aufgrund der föderalen Struktur Deutschlands (Bund auf Bundesebene und die 16 Länder) kann die Bundesregierung die Bundesländer bzw. Gemeinden/Städte und ihre jeweiligen öffentlichen Körperschaften nicht direkt mit der Führung eines Datenbestands beauftragen. Allerdings hat der Bund im Rahmen des Grundgesetzes ein Gesetz erlassen, das festlegt, welche Daten als Open Data veröffentlicht werden müssen (§12a).
Dies ist auf verfassungsrechtliche Hürden zurückzuführen, es wurden jedoch Anreize gesetzt, z.B. in Programmen zur Unterstützung lokaler und regionaler Initiativen (Modellkommunen/Modellkommunen BMI) sowie Dialogformaten mit allen Regionen und Kommunen. Link: https://www.bmi.bund.de/DE/themen/moderne-verwaltung/open-gouvernement/modellkommune/modellkommune-node.html
Basierend auf den Ergebnissen des Projekts „Modellkommune“ finden Sie hier auch die aktuelle Initiative der regionalen Open-Government-Labore:
https://open-gouvernement-kommunen.de/

Antwort zu r1: Hier eignet sich die übergeordnete Themenseite (Hauptseite) besser. Diese Seite fasst alle wesentlichen Erkenntnisse der regionalen Open-Government-Labor-Initiative zusammen, auf die wir uns in unserer Antwort beziehen.";Complement;ja;"There is currently no obligation on federal level to create a data catalogue on a legal basis or on the basis of the various strategies in the field of data/open data.

In fact, such an obligation is currently being considered for a planned transparency law (on federal level). However, the discussion process itself has not yet started and therefore no decisions have been made yet.

In addition, there are datasets that require at least certain requirements (examples at federal level):
- Verwaltungsdateninformationsplattform (VIP); published by the Federal statistical office: https://www.verwaltungsdaten-informationsplattform.de/DE/Home/home_node.html
- Datenatlas (this includes an inventory analysis of all the administration’s data), see:
https://www.bundesregierung.de/resource/blob/992814/1845634/0bab2b7d06c82f45361620f0c22891a2/datenstrategie-der-bundesregierung-download-bpa-data.pdf?download=1 (page 50 and 88)

Due to consitutional restrictions in Germany owing to Germany's Federal structure (Bund on the national level and the 16 states/Länder), the national government CANNOT directly mandate the federal states (Länder) or communes/cities and their respective public bodies to maintain a data inventory."
P10-b;ja;"Ja, die Verwaltungsdateninformationsplattform (VIP, siehe oben) schreibt die Identifizierung (aber keine Veröffentlichung) aller Metadaten aus Registern vor, die aufgrund ihrer Beschaffenheit als personenbezogene Daten keine offenen Daten beinhalten.
Das deutsche Open-Data-Gesetz (§12a EGovG) legt derzeit fest, welche Daten nicht als Open Data veröffentlicht werden dürfen. Zu diesen Daten zählen beispielsweise personenbezogene Daten, Forschungsdaten sowie Daten, die die nationale Sicherheit Deutschlands gefährden können.

Darüber hinaus sieht das zweite Open-Data-Gesetz (in Kraft seit 07/2021) eine spezifische Regelung für Forschungsdaten vor, die in bestimmten Fällen veröffentlicht werden müssen";Complement;ja;"As noted above, there is no legal obligation to create data catalogues. Nevertheless, for example, the Administrative Data Information Platform (VIP, see above) specifies the identification (but not the publication) of all metadata from registers which, by their nature, do not contain open data as personal data.
The German Open Data Act (§12a EGovG) currently determines which data may not be published as Open Data. These data include, for example, personal data at an individual level, research data and data that may jeopardise the national security of Germany.

In addition, the second Open Data Act (in force since 07/2021) contains a specific regulation for research data that must be published in certain cases."
P11;neue Frage;neue Frage;Change;ja;"FAQs are provided on the national metadata portal GovData for the implementation of the high-value datasets.
Link: https://www.govdata.de/web/guest/hochwertige-datensaetze

There is also a guideline and a process diagram in preparation."
P12;neue Frage;neue Frage;Change;ja;Some data sets are already marked as a high-value dataset, for example in the geodata area.
D1.2;;;;;
P13;neue Frage;neue Frage;Change;ja;"The Competence Centre Open Data (CCOD) organises an annual round table to find topics for future specialist forums with various stakeholders who provide open data. As a result, the CCOD organises regular expert forums on different topics in the field of Open Data with different stakeholders.
Example (expert forum for high-value-datasets): https://www.bva.bund.de/SharedDocs/Kurzmeldungen/DE/Behoerden/Beratung/OpenData/Aktuelles/2024/FF_HVD.html"
P14;Hybrid;Hybrid, aufgrund der föderalen Strukturen in Deutschland. Dieses Modell dient der Einbindung aller Bundesebenen und der Sicherstellung einer Abstimmung von Projekten und Initiativen auf lokaler und regionaler Ebene.;Confirm;;
P15;neue Frage;neue Frage;Change;nein;Due to the federal structure of Germany, the possibilities of support at regional and local level are very limited.
P16;die Mehrheit der öffentlichen Körperschaften;"Aufgrund der Regelungen sind alle Behörden auf Landesebene zur Bereitstellung offener Daten verpflichtet.
siehe § 12a Abs.1 EGovG, https://www.gesetze-im-internet.de/egovg/__12a.html

Einige Bundesländer haben zudem unterschiedliche Open-Data-Richtlinien eingeführt, die ihre öffentlichen Stellen zur Bereitstellung offener Daten verpflichten.
z.B. NRW, https://recht.nrw.de/lmi/owa/br_bes_detail?sg=0&menu=0&bes_id=34925&anw_nr=2&aufgehoben=N&det_id=552085

Darüber hinaus stellen viele Gemeinden und Städte offene (Regierungs-)Daten zur Verfügung.
- Stadt Berlin, https://daten.berlin.de/
- Landeshauptstadt München: https://opendata.muenchen.de/
- Stadt Bonn, https://opendata.bonn.de/";Confirm;;
P17;ja;"Nicht in einem einzigen Dokument zusammengefasst, sondern in verschiedenen Dokumenten beschrieben:

GovData (nationales Open Data Portal):
Die Rolle des nationalen Open-Data-Portals (GovData) wird unter Abschnitt 7 im folgenden veröffentlichten Dokument beschrieben: https://www.govdata.de/documents/10156/18448/Verwaltungsvereinbarung_GovData_finale+Fassung.pdf/a12e7cfb-91fc-4570-9a07-ed420e524c93

Open-Data-Koordination
- Einen guten Überblick über die Open-Data-Koordination und die damit verbundenen Aufgaben und Rollen finden Sie in einem CCOD-Leitfaden:
https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/ODK_Leitfaden/1_OpenData_Einfuehrung/einfuehrung_node.html

Kompetenzzentrum Open Data (CCOD):
Die Rolle des CCOD wird im Einführungstext beschrieben, siehe: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Beratung/beratung_node.html
(siehe Ansprechpartner)";Confirm;;
P18;ja;Ja – nicht regelmäßig nach Kalender, sondern mindestens zwei Mal im Jahr und auf Ad-hoc-Basis über die Arbeitsgruppe GovData (vergleiche die Antwort auf Frage 12, Problem 3).;Complement;ja;Yes - not regularly by calendar, but minimum two times a year and on ad hoc basis via the Workgroup GovData.
P19;ja;"Ja (vergleiche auch Antwort auf Frage 12 oben):
- Das 2. Open-Data-Gesetz (in Kraft seit Juli 2021) schreibt in § 12a Abs. 9 EGovG vor, dass Bundesbehörden „Open-Data-Koordinatoren“ einrichten müssen. Die Rolle ist obligatorisch
- Im Rahmen der Anfang 2021 beschlossenen Datenstrategie werden derzeit in allen Bundesministerien Chief Data Scientists eingerichtet. Unterstützt werden diese durch die Einrichtung von Datenlaboren in Ministerien oder nachgeordneten Behörden. Beide Rollen/Institutionen sind auch für die Bundesebene verpflichtend.";Complement;ja;"Yes:
- The 2nd Open Data Act (in force since July 2021) requires in section 12a(9) EGovG federal authorities to establish ‘open data coordinators’. The role is mandatory
- As part of the data strategy adopted in early 2021, Chief Data Scientists are currently being established in all federal ministries. These are supported by the establishment of data laboratories in ministries or subordinate authorities. Both roles/institutions are also mandatory for the federal level."
P20;ja;"Ja, es gibt verschiedene Formate für den regelmäßigen Austausch:
- Eine Kernaufgabe des Kompetenzzentrums Open Data (CCOD) – als Teil des nationalen Open-Data-Teams im weiteren Sinne – ist die Förderung des regelmäßigen Austauschs zwischen allen Open-Data-Akteuren (mindestens dreimal im Jahr).
- Auch unter den Open-Data-Koordinatoren (Bundesebene) findet ein regelmäßiger Austausch statt.";Confirm;;
P21;ja;"Ja, im Falle der Bundesforschungsinstitute, die dem Bundesministerium für Ernährung und Landwirtschaft unterstehen, erfolgt der interne Austausch (innerhalb der öffentlichen Körperschaft) zwischen der für den Datenmanagementdienst zuständigen Einheit und den Wissenschaftlern unserer Forschungsinstitute. Darüber hinaus organisieren sie den regelmäßigen Austausch zwischen der öffentlichen Stelle (Bundesforschungsinstitute und die Verwaltungsbehörde) aus unserem Zuständigkeitsbereich und der obersten Behörde (Bundesministerium). Zu diesem Zweck haben sie den Think Tank Digitalisierung mit Arbeitsgruppen zu Datenmanagement, Open Data und KI gegründet. Es gibt auch andere Möglichkeiten zum Austausch.

Darüber hinaus findet auf Bundesebene ein Wissens- und Erfahrungsaustausch mit der Nationalen Forschungsdateninfrastruktur Deutschland (NFDI) statt.

Auf Bundesebene führt das Kompetenzzentrum Open Data (CCOD) sogenannte Fachforen durch, bei denen Experten aus verschiedenen Nutzergruppen (z. B. Datenjournalisten, NGOs) eingeladen werden, ihre Erfahrungen, Standpunkte und Forderungen mit öffentlich Bediensteten aller Bundesebenen zu teilen, z.B. zu Metadatenqualität oder Datenstruktur

Einige Beispiele auf regionaler Ebene:
Berlin (Bundesland):
Der Berlin Open Data Day ist die Netzwerkkonferenz zwischen den öffentlichen Einrichtungen und den Stakeholdern aus Wissenschaft, Bürgern und Wirtschaft, auf der wir Reden des Bürgermeisters und Best-Practice-Präsentationen für Open-Data-Projekte haben: https://projektzukunft.berlin.de/news/news-detail/rueckblick-berlin-open-data-day-2019 Außerdem gibt es bei uns den „Open Data Lunch“, bei dem wir den Stakeholdern aus Wissenschaft, Bürgern und Wirtschaft die Möglichkeit geben, sich mit den öffentlichen Stellen auszutauschen: https://www.berlin.de/moderne-verwaltung/e-gouvernement/open-data/veranstaltungeentfälltrtikel.1257989.php#berlin

Niedersachsen:
Nur auf Projektebene: Im Rahmen unseres Projektes „Bürgerinformationsportal Umwelt / UmweltNAVI Niedersachsen“. Das Niedersächsische Umweltministerium kooperiert z.B. mit observations.org.";Confirm;;
D1.3;;;;;
