key;value
P11;"Wendet Ihr Land die Durchführungsverordnung (EU) 2023/138 über Hochwertige Datensätze an?

Zur Einordnung:
* Falls ja, wie ist der Fortschritt?
* Wenn Sie ein EFTA- oder EU-Beitrittsland sind, wählen Sie bitte „nicht zutreffend“.
** Geben Sie in der folgenden Tabelle Ihren Fortschritt in Bezug auf a) Organisation, b) rechtliche Aspekte, c) technische Aspekte auf einer Skala von 1 bis 5 an. 1 = kein Fortschritt; 2 = geringer Fortschritt; 3 = gewisser Fortschritt; 4 = erheblicher Fortschritt; 5 = Arbeiten sind abgeschlossen."
P12;"Haben die öffentlichen Stellen in Ihrem Land nach Veröffentlichung der Durchführungsverordnung (EU) 2023/138 über Hochwertige Datensätze relevante Datensätze in ihren Metadaten als Hochwertige Datensätze gekennzeichnet?

Zur Einordnung:
* Falls ja, geben Sie bitte an, wie, und heben Sie etwaige Herausforderungen hervor.
* Falls Ihr Land ein EFTA-Staat oder ein Beitrittskandidat zur EU ist, wählen Sie bitte „nicht zutreffend“ aus."
D1.2;1.2 Governance offener Daten
P13;"Gibt es eine Governance-Struktur, die die Beteiligung und/oder Einbeziehung verschiedener Open-Data-Stakeholder ermöglicht?

Zur Einordnung:
* Wenn ja, beschreiben Sie bitte kurz die Governance-Struktur und ihr Betriebsmodell"
P14;"Wie würden Sie das in Ihrem Land verwendete Modell zur Verwaltung offener Daten einstufen?

Zur Einordnung:
* Bitte erläutern Sie kurz, warum dieses Modell für Ihr Land gewählt wurde/am besten funktioniert"
P15;"Stellt die Governance-Struktur sicher, dass die lokalen und regionalen Open-Data-Initiativen auf nationaler Ebene erleichtert und unterstützt werden?

Zur Einordnung:
* Wenn ja, geben Sie bitte ein Beispiel für die Art der Unterstützung an.
* Falls nicht zutreffend, erläutern Sie bitte den Grund."
P16;"Inwieweit führen lokale/regionale öffentliche Stellen Open-Data-Initiativen durch?

Zur Einordnung:
* Falls nicht zutreffend, erläutern Sie bitte den Grund."
P17;"Ist ein Dokument, das die Verantwortlichkeiten und die Governance-Struktur des nationalen (und/oder regionalen/lokalen) Open-Data-Teams beschreibt, öffentlich verfügbar?

Zur Einordnung:
* Wenn ja, geben Sie bitte die URL an, unter der diese Informationen veröffentlicht werden."
P18;"Gibt es einen regelmäßigen Wissens- oder Erfahrungsaustausch zwischen dem nationalen Open-Data-Team und dem Team, das das nationale Portal betreut?

Zur Einordnung:
* Wenn ja, beschreiben Sie bitte kurz, wie dieser Austausch stattfindet, und liefern Sie Belege zur Untermauerung Ihrer Antwort (z. B. Tagesordnungen von Sitzungen, URLs zu Nachrichtenartikeln)."
P19;"Umfasst das Governance-Modell die Ernennung offizieller Rollen in öffentlichen Diensten, die sich mit offenen Daten befassen (z. B. Open-Data-Beauftragte)?

Zur Einordnung:
* Wenn ja, beschreiben Sie bitte, wie diese Aufgabe auf der Ebene der öffentlichen Körperschaft erfüllt wird."
P20;"Gibt es einen regelmäßigen Wissens- oder Erfahrungsaustausch zwischen dem nationalen Open-Data-Team und dem größeren Netzwerk der Open-Data-Beauftragten in Ihrem Land?

Zur Einordnung:
* Wenn ja, beschreiben Sie bitte kurz, wie dieser Austausch stattfindet, und liefern Sie Belege zur Untermauerung Ihrer Antwort (z. B. Tagesordnungen von Sitzungen, URLs zu Nachrichtenartikeln)."
P21;"Gibt es einen regelmäßigen Wissens- oder Erfahrungsaustausch zwischen öffentlichen Stellen (d. h. den Anbietern) und Wiederverwendern offener Daten (z. B. Wissenschaft, Bürger, Unternehmen)?

Zur Einordnung:
* Wenn ja, beschreiben Sie bitte kurz, wie dieser Austausch stattfindet, und liefern Sie Belege zur Untermauerung Ihrer Antwort (z. B. Tagesordnungen von Sitzungen, URLs zu Nachrichtenartikeln)."
D1.3;1.3 Umsetzung offener Daten
P22;"Gibt es Pläne zur Datenveröffentlichung auf der Ebene öffentlicher Stellen?

Zur Einordnung:
* Wenn ja, geben Sie bitte die URL an und heben Sie kurz die behandelten Schlüsselaspekte hervor."
P23;"Gibt es Prozesse, die sicherstellen, dass die oben genannten Open-Data-Richtlinien/Strategien umgesetzt werden (z. B. Monitoring)?

Zur Einordnung:
* Wenn ja, geben Sie bitte den/die Prozess(e) an."
P24;"Aktualisieren Sie Ihre Richtlinie/Strategie gegebenenfalls, um deren Erfolg sicherzustellen, beispielsweise auf Grundlage der zum Monitoring erfassten Daten?

Zur Einordnung:
* Wenn ja, beschreiben Sie bitte den Prozess und alle kürzlich vorgenommenen Aktualisierungen der Strategie/Richtlinie"
P25;"Gibt es Verfahren zur Beurteilung, ob öffentliche Stellen für Daten Gebühren erheben, die über den Grenzkosten liegen? (siehe Richtlinie (EU) 2019/1024 über offene Daten und die Weiterverwendung von Informationen des öffentlichen Sektors).

Zur Einordnung:
* Wenn ja, geben Sie bitte den/die Prozess(e) an."
P26-a;"Was sind die drei größten Herausforderungen, mit denen Ihr Land bei der Umsetzung der genannten Richtlinien/Strategien für offene Daten konfrontiert ist?

Zur Einordnung:
* Bitte kurz beschreiben."
P26-b;"Gibt es in Ihrem Land Aktivitäten zur Bewältigung dieser Herausforderungen (z. B. mit spezifischen nationalen/regionalen/lokalen Plänen oder Initiativen)?

Zur Einordnung:
* Wenn ja, beschreiben Sie bitte kurz die Maßnahmen, die Sie ergriffen haben oder ergreifen möchten, um diese Herausforderungen zu lösen.
* Wenn nein, geben Sie bitte an, was die Suche nach einem strategischen Ansatz zur Lösung dieser Herausforderungen behindert."
P27;"Gibt es Aktivitäten, die den Dateninhabern dabei helfen, ihre Daten als offene Daten zu veröffentlichen (d. h., die ihnen beim Prozess der Datenöffnung helfen)?

Zur Einordnung:
* Wenn ja, beschreiben/geben Sie bitte Beispiele für diese Aktivitäten."
P28;"Gibt es in Ihrem Land einen beruflichen Entwicklungs- oder Schulungsplan für öffentlich Bedienstete, die mit Daten arbeiten?

Zur Einordnung:
* Wenn ja, beschreiben Sie bitte kurz diese Schulungsaktivitäten."
P29;"Gibt es in Ihrem Land jährlich stattfindende nationale, regionale oder lokale Veranstaltungen (z. B. Hackathons, Kurse, Konferenzen, Benutzertreffen, Sommer-/Winterschulen), um offene Daten und Open-Data-Kompetenz über die Zielgruppe der öffentlich Bediensteten hinaus zu fördern?
 
Zur Einordnung:
* Wenn ja, geben Sie bitte Beispiele an (z. B. Titel, Datum, Ort der Veranstaltung und URL)."
D2;Dimension 2: Open Data Portal
D2.1;2.1 Portal features
PT1;"Is there a national portal in your country for that enables users to search for open datasets and find where to download open data? 

Zur Einordnung:
* If yes, please provide the URL of the national portal."
PT2;"Zur Einordnung:
* What is the technology stack of your portal (e.g. based on uData, CKAN, etc.)"
PT3;"Does the national portal offer to its users a way to programmatically query the metadata via an API?

Zur Einordnung:
* If yes, please provide the direct-URL to this feature."
PT4;"Does the national portal offer to its users a way to programmatically query the metadata via a SPARQL access point?

Zur Einordnung:
* If yes, please provide the direct-URL to this feature."
PT5;"Does the national portal offer/link to documentation on the use of APIs?

Zur Einordnung:
* If yes, please provide the direct-URL to this feature.  "
PT6;"Does the national portal offer/link to documentation on the use of SPARQL? 

Zur Einordnung:
* If yes, please provide the direct-URL to this feature.  "
PT7;"Does the national portal provide functionality for users to contribute datasets they have produced or enriched? 

Zur Einordnung:
* If yes, please (1) explain how  the portal facilitate the linking of documentation and supporting materials to these user-contributed datasets and (2) provide the direct-URL to this feature."
PT8;"Does the national portal offer a mechanism for users to provide general feedback, such  a 'Contact us' or 'Feedback' button that is placed in a visible spot and would allows users to send a general comment concerning the portal?

Zur Einordnung:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided."
PT9;"Does the national portal offer a mechanism for users to provide feedback on specific datasets, such as a 'feedback button' or a comment/discussion section under the dataset?

Zur Einordnung:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided."
PT10;"Does the national portal provide a mechanism for users to rate datasets?

Zur Einordnung:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided."
PT11;"Does the national portal enable users to find information and news on relevant open data topics in the country?

Zur Einordnung:
* If yes, please provide the direct-URL to this feature.  "
PT12;"Does the national portal offer the possibility for users to receive notifications when new datasets are available on the national portal (RSS, ATOM feeds, email notifications etc.)?

Zur Einordnung:
* If yes, please provide the direct-URL to this feature.  "
PT13;"Does the national portal enable users to request datasets, such as through a ""request data"" button? 

Zur Einordnung:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided."
PT14;"Are requests for datasets and their progress status presented in a transparent manner on the national portal? 

Zur Einordnung:
* If yes, please provide the direct-URL to this feature.  "
PT15;"Does the team monitor the extent to which requests (either via the portal or otherwise) result in the publication of the requested data?

Zur Einordnung:
* If yes, please describe how this monitoring is conducted."
PT16;"Does the national portal offer a mechanism for users to exchange with others, such as a discussion forum?

Zur Einordnung:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided."
PT17;"Does the national portal showcase reuse cases, such as in a designated section of the portal?

Zur Einordnung:
* If yes, please provide the direct-URL to this feature. "
PT18;"Does the national portal reference the datasets that the showcased reuse cases are based on (i.e. there is a link between the reuse case in the showcase and the underlying dataset on the portal)?

Zur Einordnung:
* If yes, please provide the URL to this feature/to an example documenting this feature."
PT19;"Does the national portal provide the possibility for users to submit their own reuse cases?

Zur Einordnung:
* If yes, please provide the direct-URL to this feature. "
PT20;"Does the national portal offer a preview function for tabular data?

Zur Einordnung:
* If yes, please provide the URL to an example documenting this feature."
PT21;"Does the national portal offer a preview function for geospatial data?

Zur Einordnung:
* If yes, please provide the URL to an example documenting this feature."
PT22;"Do you promote high-value datastes on your national portal (e.g. use filtering features for reusers to easily find such datasets, use editorial features to promote the datasets, etc.))?

Zur Einordnung:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'."
D2.2;2.2 Portal usage
PT23;"Do you monitor the portal's traffic (e.g. in terms of number of unique visitors, visitor profiles, percentage of machine traffic, number of downloads according to the number of datasets etc.)? 

Zur Einordnung:
* If yes, which tool(s) do you use?"
PT24;"Do you run analytics on API usage?

Zur Einordnung:
* If yes, please briefly (1) describe your process and (2) how you use the insights to improve the portal"
PT25;"Besides monitoring portal traffic, do you perform any further activities to better understand the behaviour and needs of users of your portal (e.g. web analytics, surveys, or analysis of social media feeds)?

Zur Einordnung:
* If yes, please (1) specify the activities and explain (2) how they help you understand user needs"
PT26;"Do you used the insights about portal usage and about the behaviour and needs of portal users to improve the portal accordingly?

Zur Einordnung:
* If yes, please explain your process for improving the portal based on user insights and feedback
* If relevant, kindly highlight some improvements made in the past year"
PT27;"Do you undertake any activities to promote the portal and attract new users or new audiences?

Zur Einordnung:
* If yes, please (1) explain what activities your perform, and (2) mention if these activities are directed at any specific target audience (e.g. business, public sector, academia, etc.)"
PT28;"Do you monitor what keywords are used to search for data and content on the portal?

Zur Einordnung:
* If yes, please briefly (1) describe your process and (2) how you use the insights to improve the portal"
PT29;"Do you monitor the most and least consulted pages?

Zur Einordnung:
* If yes, please briefly (1) describe your process and (2) how you use the insights to improve the portal
* For informational purposes, kindly provide the URLs to the five most popular datasets on the portal"
PT30;"Do you take measures to optimise the search and discoverability of content (data and editorial)? 

Zur Einordnung:
*If yes, please briefly describe how your optimise the search"
PT31;"Is the metadata on your portal available in clear plain language to enable both humans and machines to read and understand it? 

Zur Einordnung:
*If yes, please provide the URL to an example documenting this feature."
D2.3;2.3 Data provision
PT32;"To what degree do public sector data providers contribute data to the portal? 

Zur Einordnung:
*Please describe what is the agreed approach.
* If less than the majority of data providers, please briefly explain why (e.g. technical incompatibilities, governance aspects, low awareness etc.)."
PT33;Do you identify the data providers that are not yet publishing data on the national portal?
PT34;"Were there concrete actions taken to assist these data providers with their publication process?

Zur Einordnung:
* If yes, could you provide some examples of the actions taken in this regard."
PT35;"Besides the national open data portal, are there other regional and local portals? 

Zur Einordnung:
* If yes, please provide a complete list and the links to these portals."
PT36;"Are regional and local portals listed above and their data sources discoverable via the national portal? 

Zur Einordnung:
* If not applicable, please briefly explain why. "
PT37;"To what degree are  regional and local sources harvested automatically? 

Zur Einordnung:
* If less than the majority of existing sources is harvested by the national portal, please briefly explain why.                        
* If not applicable, please briefly explain why. "
PT38;"Does the national portal include datasets that are real-time or dynamic?

Zur Einordnung:
* If yes, please provide URLs to real-time and/or dynamic data featured via the national portal. "
PT39;"Does the national portal provide a way for non-official data (i.e. not stemming from official sources, such as community-sourced/citizen-generated data) to be published? 

Zur Einordnung:
* If yes, please explain how non-official data is distiguished for offical data (e.g. using a different section of the portal or tags) 
* And please provide a URL to an example of a non-official dataset on the portal "
PT40;"Does the national portal allow users to see what data exists but cannot be made available as open data?

Zur Einordnung:
* If yes, please (1) provide the URL to an example and (2) briefly describe the approach used to ensure this transparency."
D2.4;2.4 Portal sustainability
PT41;"Does the national portal have a strategy to ensure its sustainability?

Zur Einordnung:
* If yes, please (1) provide the URL to this document and (2) describe the main measures to keep the portal running in the long-term and continue to serve its audience"
PT42;"Is your national portal active on social media? 

Zur Einordnung:
* If yes, please provide the URL(s) to your social media accounts. "
PT43;"Are the portal’s source code and relevant documentation and artefacts made available to the public (e.g. on platforms such as GitHub or GitLab)?

Zur Einordnung:
*If yes, please provide the (1) platform name and (2) the URL to the portal’s account on this platform."
PT44;"Do you monitor the characteristics of the data published on the portal, such as the distribution across categories, static vs. real-time data and how these change over time?

Zur Einordnung:
* If yes, please provide the direct-URL to this feature"
PT45;"Does this monitoring enable the portal team and/or data providers to take action to improve their performance on the national portal?

Zur Einordnung:
* If yes, please (1) explain how and (2) if applicable provide the direct-URL to this feature."
D3;Dimension 3: Open Data Quality
D3.1;3.1 Currency and completeness
Q1;"Is there a pre-defined approach to ensure that metadata is kept up-to-date?

Zur Einordnung:
* If yes, please briefly describe your approach."
Q2;"What percentage of the metadata on the national portal is obtained from the source automatically, rather than edited manually? 

Zur Einordnung:
* Please describe (1) the workflows you have to automate the harvesting of metadata and (2) for which types of data these apply to"
Q3;"What is the average delay from the moment the metadata describing a dataset is updated at the source, and the moment the change is visible on the portal?

Zur Einordnung:
* Please explain the approach for updating metadata in a timely manner"
Q4;"Do you undertake efforts to ensure that published data covers the full period from when it was first published until today, for example,the complete time series?

Zur Einordnung:
* If yes, please explain the measures in place to ensure complete series of datasets"
Q5;"Have you implemented the DCAT-AP High Value Datasets (semiceu.github.io) tag to denote the High-Value Datasets in your (national) open data portal(s)?

Zur Einordnung:
* If yes, please specify how and highlight challenges if any.
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'."
Q6;"Besides the DCAT-AP tag mentioned above, have you implemented any other measures to ensure that high-value datasets ((EU) 2023/138) are interoperable with datasets of other country?

Zur Einordnung:
* If yes, please specify how and highlight challenges if any.
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'."
D3.2;3.2 Monitoring and measures
Q7;"Do you monitor the quality of the metadata available on your portal?

Zur Einordnung:
* If yes, please briefly explain how this monitoring takes place. 
* If applicable, please provide the URL to this monitoring mechanism."
Q8;"Do you publish information on the quality of the metadata available on the portal?

Zur Einordnung:
* If yes, please provide the URL to this section. "
Q9;"Do you publish guidelines (e.g. written materials) and have tools in place, to assist publishers in publishing high-quality metadata? 

Zur Einordnung:
* If yes, please (1) briefly describe this material and (2) provide the URLs to these materials and/or tools."
Q10;"Do you set any standards on metadata quality that data providers must abide by (e.g. on the use of licence, minimum metadata describes, use of certain DCAT-AP properties, etc)

Zur Einordnung:
* If yes, please describe the standards you have in place, i.e. what is minimum information the metadata should describe "
Q11;"Do your open data publication/licensing guidelines provide recommendations for the use of Creative Commons (CC) licences, specifically CC BY 4.0 and CC0?

Zur Einordnung:
* If yes, is this mandatory (e.g. prescribed by law) or recommended?
* Please provide a URL link to the guidelines"
Q12;What percentage of the open data available on the national portal is accompanied by licensing information? 
Q13;How many different licences are used on your portal?
Q14;"Besides providing guidelines, are there regular activities conducted or mechanisms in place to  assist publishers in supplying high-quality datasets (metadata quality and data quality)?

Zur Einordnung:
* If yes, please explain the support you provide?"
D3.3;3.3 DCAT-AP Compliance
Q15;"Does the national portal follow the DCAT-AP framework or, if not, are standards in place to ensure interoperability with DCAT-AP?

Zur Einordnung:
* If the  portal follow the DCAT-AP framework, please describe how compliance with DCAT-AP is ensured
* If the portal does not follow the DCAT-AP framework, please describe how interoperability with DCAT-AP is ensured"
Q16;What is the percentage of metadata on your portal that is DCAT-AP compliant, in terms of mandatory classes? (agent, catalogue, dataset, literal, resource)
Q17;What is the percentage of metadata on your portal that uses DCAT-AP recommended classes? (category, category scheme, distribution, licence document)
Q18;What is the percentage of metadata on your portal that uses DCAT-AP optional classes? (catalogue record, checksum, document, frequency)
Q19;"Is there a national extension of the DCAT-AP standard developed for your country? 

Zur Einordnung:
* If yes, please (1) briefly outline the reasons for this decision, and (2) what the main differences between the national variation and the EU standard are.
* If applicable, please provide the URL to the documentation of the national DCAT-AP extension."
Q20;"Do you investigate the most common causes for the lack of DCAT-AP compliance?

Zur Einordnung:
* If yes, what are the main causes for the lack of DCAT-AP compliance?"
Q21;What is the percentage of datasets whose metadata provides a reference to where the data can be downloaded, or its API accessed (“download-URL” in the DCAT-AP specification)?
Q22;What is the percentage of datasets whose metadata provides a reference to a web page from where the data can be accessed (“access-URL in the DCAT-AP specification)?
D3.4;3.4 Deployment quality and linked data
Q23;"Do you use a model (such as the 5-Star Open Data or FAIR) to assess the quality of deployment of data in your country?

Zur Einordnung:
* If yes, please briefly describe."
Q24;"Do you conduct activities to promote and familiarise data providers with ways to ensure higher quality data?

Zur Einordnung:
* If yes, please briefly describe."
Q25;What percentage of datasets are made available under an open licence? 
Q26;What percentage of licences are provided in a structured data format?
Q27;What percentage of datasets are provided in an open and machine-readable format?
Q28;What percentage of datasets consistely use Uniform Resource Identifiers?
Q29;What percentage of datasets link to other renowned sources to provide additional context for the users, e.g. in a linked data fashion?
D4;Dimension 4: Open Data Impact
D4.1;4.1. Strategic awareness
I1;"Do you have a definition of open data reuse in your country?
 
Zur Einordnung:
* If yes, please specify it."
I2;"Are there any processes in place to monitor the level of reuse of your country's open data?
 
Zur Einordnung:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer."
I3;"Are there any activities in place to encourage public bodies to monitor the reuse of their own published data (e.g. incentives or obligations in place for public bodies or civil servants of national government)?
 
Zur Einordnung:
* If yes, please (1) briefly describe these activities/incentives and (2) provide the URLs to support the answer."
I4;"Does your country have processes in place to monitor and measure the level of reuse of high-value datasets ((EU) 2023/138)?
 
Zur Einordnung:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'."
I5;"Has your government specified what 'impact of open data' means (e.g. in a strategy document)?
 
Zur Einordnung:
* If yes, how do you define the impact of open data in your country? 
* If possible, please provide a URL to a public document describing it."
I6;"Do you have a methodology in place to measure the impact of open data in your country?
 
Zur Einordnung:
* If yes, please briefly describe the key points of this methodology."
I7;"Is there collaboration between government and civil society or academia to create open data impact in your country?

Zur Einordnung:
* If yes, please provide an example
* If possible, URLs to such projects and collaborations."
D4.2;4.2 Measuring reuse
I8;"Have any public bodies in your country launched or performed any activities in the past year to understand which and how (open) datasets are reused?

Zur Einordnung:
* If yes, which of the following activities?
* Multiple answers are possible."
I8-a;Automated feedback mechanisms tracking users´ access to datasets
I8-b;Surveys
I8-c;Interviews/workshops with reusers
I8-d;Other
I9;"Have any public bodies in your country launched or performed any activities in the past year to better understand reusers' needs in order to further stimulate the reuse of open data?

Zur Einordnung:
* If yes, which of the following activities have been performed? Please describe how the activity has helped you better stimulate reuse.
* Multiple answers are possible."
I9-a;Regular feedback sessions with portal users 
I9-b;Social media sentiment analysis 
I9-c;Other
I10;"Have any public bodies in your country developed any systematic way of gathering reuse cases?

Zur Einordnung:
* If yes, please provide a brief explanation of the process: How does the gathering happen? "
I11;"Are there any public bodies in your country that have developed a systematic ways of classifying the gathered reuse cases?

Zur Einordnung:
* If yes, please provide a brief explanation of the process: According to which categories are reuse cases classified (e.g. by policy field)?"
D4.3;4.3 Created impact
D4.3a;4.3a Governmental impact
I12;"Is any data on the impact created by open data on governmental challenges (e.g. efficiency, effectiveness, transparency, decision-making capacity) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

Zur Einordnung:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data."
I13;"Is the use of open data in your country having an impact on the efficiency and effectiveness of the government (at any level) in delivering public services? 

Zur Einordnung:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain."
I14;"Is the use of open data in your country having an impact on transparency and accountability of public administrations?

Zur Einordnung:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain."
I15;"Is the use of open data in your country having an impact on policy-making processes (i.e. are public administrations making use of the data as evidence for the problem identification and policy formulation)? 

Zur Einordnung:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain."
I16;"Is the use of open data in your country having an impact on decision-making processes (i.e. are public administrations making use of the data as evidence to be included in their daily operations)?

Zur Einordnung:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain."
D4.3b;4.3b Social impact
I17;"Is any data on the impact created by open data on social challenges (e.g. inequality, healthcare, education) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

Zur Einordnung:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data."
I18;"Is the use of open data in your country having an impact on society´s ability to reduce inequality and better include minorities, migrants, and/or refugees? 

Zur Einordnung:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain."
I19;"Is the use of open data in your country having an impact on issues about housing in urban areas? 

Zur Einordnung:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain."
I20;"Is the use of open data in your country having an impact on the issues of health and wellbeing? 

Zur Einordnung:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain."
I21;"Is the use of open data in your country having an impact on the society´s level of education and skills (e.g. data literacy)?

Zur Einordnung:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain."
D4.3c;4.3c Environmental impact
I22;"Is any data on the impact created by open data on environmental challenges (e.g. climate change and environmental degradation, as highlighted in the Eurpean Green Deal) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

Zur Einordnung:
* If yes, please specify (1)  what kind of data source proves this impact and (2) provide the URLs to this data."
I23;"Is the use of open data in your country having an impact on the level of protection of biodiversity (e.g. maintaining a good air and water quality)? 

Zur Einordnung:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain."
I24;"Is the use of open data in your country having an impact on the achievement of more environment-friendly cities (e.g., environment-friendly transport systems, waste management etc.)? 

Zur Einordnung:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain."
I25;"Is the use of open data in your country having an impact on the fight against climate change, for example by undertaking predictive monitoring, preventive actions, or a differentiated response to connected disasters?

Zur Einordnung:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain."
I26;"Is the use of open data in your country having an impact on the consumption of energy based on fuel and the switch to renewables? 

Zur Einordnung:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain."
D4.3d;4.3d Economic impact
I27;"Is any data on the economic impact (e.g. GDP, employment, productivity, innovation,  new businesses created etc.) of open data available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

Zur Einordnung:
* If yes, please specify what kind of data source proves this impact and provide the URLs to this data.

"
